Year,Fuel Type,VALUE
1990,Sum of all fuel products,7249
1990,Sum of all coal products,843
1990,Bituminous coal,825
1990,Lignite,18
1990,Sum of all peat products,757
1990,Sod peat,586
1990,Briquettes,171
1990,Sum of all petroleum products,3952
1990,Gasoline,942
1990,Kerosene,121
1990,Jet kerosene,374
1990,Fuel oil,589
1990,Gasoil/diesel/DERV,1710
1990,Petroleum coke,66
1990,Naphta,1
1990,Natural gas,570
1990,Sum of all renewable energies,108
1990,Biomass,105
1990,Biogas,2
1990,Electricity,1021
1990,Sum of all fuel products,1720
1990,Bituminous coal,216
1990,Sum of all petroleum products,696
1990,Kerosene,17
1990,Fuel oil,422
1990,LPG,62
1990,Gasoil/diesel/DERV,148
1991,Sum of all petroleum products,59
1991,Kerosene,1
1991,Fuel oil,13
1992,Biogas,3
1992,Electricity,420
1992,Sum of all fuel products,100
1992,Sum of all petroleum products,59
1992,Fuel oil,16
1992,LPG,1
1992,Gasoil/diesel/DERV,34
1992,Petroleum coke,9
1992,Natural gas,15
1992,Electricity,25
1992,Sum of all fuel products,423
1992,Sum of all coal products,28
1992,Bituminous coal,28
1992,Sum of all petroleum products,183
1992,Kerosene,4
1992,Fuel oil,117
1992,LPG,12
1992,Petroleum coke,16
1992,Natural gas,110
1992,Sum of all renewable energies,3
1992,Electricity,99
1992,Sum of all fuel products,49
1992,Sum of all coal products,10
1992,Bituminous coal,10
1992,Sum of all petroleum products,28
1992,Fuel oil,8
1992,LPG,13
1992,Gasoil/diesel/DERV,7
1992,Natural gas,1
1992,Sum of all renewable energies,57
1992,Biomass,57
1992,Natural gas,5
1992,Electricity,17
1992,Sum of all fuel products,199
1992,Sum of all petroleum products,50
1992,Kerosene,1
1992,Fuel oil,34
1992,LPG,4
1992,Gasoil/diesel/DERV,11
1992,Natural gas,77
1992,Gasoil/diesel/DERV,16
1992,Petroleum coke,13
1992,Sum of all petroleum products,294
1993,Gasoil/diesel/DERV,159
1993,Petroleum coke,46
1993,Naphta,1
1993,Natural gas,389
1993,Sum of all renewable energies,60
1993,LPG,6
1993,Gasoil/diesel/DERV,15
1993,Petroleum coke,12
1993,Natural gas,53
1997,Fuel oil,3
1997,LPG,7
1997,Gasoil/diesel/DERV,4
1997,Petroleum coke,24
2001,Biomass,16
2013,Natural gas,5
2016,Electricity,20
2017,Kerosene,8
2017,Fuel oil,3
2017,LPG,1
2018,Gasoil/diesel/DERV,27
